,roles
182,"SOFTWARE DEVELOPER, DIGITAL PHOTOGRAPHY REVIEW (DPREVIEW.COM)"
183,SR. SOFTWARE DEVELOPMENT ENGINEER - TEST
184,SOFTWARE DEVELOPMENT ENGINEER - TEST
185,"SOFTWARE DEVELOPMENT MANAGER, FINANCE TECHNOLOGY"
186,INFORMATION SECURITY ENGINEER III
187,SOFTWARE DEVELOPMENT ENGINEER - AMAZON WEB SERVICES - NEW INITIATIVE
188,SALESFORCE DEVELOPER
189,SR. SOFTWARE DEVELOPMENT ENGINEER - EC2 WINDOWS
190,SR. SOFTWARE DEVELOPMENT ENGINEER - ALEXA COMMS
191,SYSTEM DEVELOPMENT MANAGER - WINDOWS INFRASTRUCTURE
192,SOFTWARE DEVELOPMENT ENGINEER AWS
193,"SYSTEMS DEVELOPMENT MANAGER, AWS LAMBDA"
194,SOFTWARE DEV MANAGER 3
195,WEB DEVELOPMENT ENGINEER – AWS SYSTEMS MANAGER
196,"MANAGER, SOFTWARE DEVELOPMENT - AMAZON API"
197,SOFTWARE DEVELOPMENT MANAGER BOULDER
198,SOFTWARE DEV ENGINEER BOULDER
199,SENIOR SOFTWARE DEVELOPMENT MANAGER
200,SDET ALEXA COMMUNICATIONS
201,SR. SOFTWARE DEVELOPMENT ENGINEER - HIGHER EDUCATION
202,"SOFTWARE DEVELOPMENT ENGINEER, AWS BATCH"
203,SR. SOFTWARE DEVELOPMENT ENGINEER - YARD TECH
204,"SR. SOFTWARE DEVELOPMENT ENGINEER, MAPS AND ROUTING"
205,GAME SERVER ENGINEER
206,SOFTWARE DEVELOPMENT ENGINEER | AMAZON PRIME DELIVERY EXPERIENCE
207,"SOFTWARE DEVELOPMENT ENGINEER, CONTAINER EXPERT"
208,SR. TECHNICAL PROGRAM MANAGER - BRAND ADVERTISING
209,SR. SOFTWARE DEVELOPMENT MANAGER - AWS ELB
210,SOFTWARE DEVELOPMENT MANAGER - AMAZON LIGHTSAIL
211,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA ENTERTAINMENT"
212,"MOBILE DEVELOPER, AMAZON ALEXA"
213,SOFTWARE DEVELOPMENT MANAGER - AWS INFRASTRUCTURE
214,PROTOTYPING DATA ENGINEER
215,PROTOTYPE ENGINEER
216,SENIOR SOFTWARE ENGINEER - PROTOTYPE
217,UX DESIGNER
218,PROTOTYPING TEAM MANAGER
219,SOFTWARE DEVELOPMENT ENGINEER INTERN - MARKETING INFRASTRUCTURE AND TOOLS
220,SOFTWARE DEVELOPMENT ENGINEER - II
221,WEB DEVELOPMENT ENGINEER II
222,SOFTWARE DEVELOPMENT ENGINEER - AWS CRYPTOGRAPHY
223,SOFTWARE DEVELOPMENT ENGINEERV- II
224,SYSTEMS DEVELOPMENT ENGINEER
225,"SOFTWARE DEVELOPMENT ENGINEER, HORIZON BIG DATA PLATFORM"
226,WEB DEVELOPER - AMAZON WEB SERVICES
227,"SOFTWARE DEVELOPMENT MANAGER, CUSTOMER INFORMATION MANAGEMENT"
228,SOFTWARE DEVELOPMENT ENGINEER: AWS AI SERVICE
229,WINDOWS AND MAC/XAMARIN SOFTWARE ENGINEER - AMAZON DRIVE
230,SOFTWARE DEVELOPMENT ENGINEER - AWS AI DEEP LEARNING
231,SOFTWARE DEVELOPMENT MANAGER – AWS MARKETPLACE
232,SR. SOFTWARE DEVELOPMENT MANAGER - TRAFFIC MANAGEMENT
233,APPLIED ROBOTICS SCIENTIST
234,"SYSTEM DEVELOPMENT ENGINEER, AWS NETWORK ENGINEERING"
235,SENIOR APPLIED ROBOTICS SCIENTIST
236,WEB DEVELOPMENT ENGINEER - ELASTIC BEANSTALK
237,WEB DEVELOPER
238,SENIOR SOFTWARE ENGINEER
239,SR.ANDROID SOFTWARE DEVELOPMENT ENGINEER
240,SOFTWARE DEVELOPMENT ENGINEER – ADVERTISING API
241,MANAGER SOFTWARE DEVELOPMENT
242,SOFTWARE DEVELOPMENT ENGINEER – DISTRIBUTED SYSTEMS
243,SENIOR SOFTWARE DEVELOPMENT ENGINEER – DISTRIBUTED DATABASE SYSTEMS
244,"SOFTWARE ENGINEER - TORONTO, CA NATURAL LANGUAGE UNDERSTANDING"
245,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, AWS NETWORKING"
246,"SENIOR SOFTWARE DEVELOPMENT MANAGER, ALEXA AUTOMOTIVE"
247,"SOFTWARE DEVELOPMENT MANAGER, ALEXA AUTOMOTIVE"
248,SOFTWARE DEVELOPMENT MANAGER - BROWSE AND DISCOVERY TEAM
249,"SENIOR SOFTWARE ENGINEER, PICKING INTERFACES & ORCHESTRATION"
250,SR. SOFTWARE DEVELOPMENT ENGINEER - DIRECT FULFILLMENT
251,SOFTWARE DEVELOPMENT MANAGER - SABLE STORAGE
252,SOFTWARE DEVELOPMENT ENGINEER | AMAZON PRIME & DELIVERY EXPERIENCE
253,SOFTWARE DEVELOPMENT MANAGER: INTERNATIONALIZATION ADOPTION PROGRAM
254,SENIOR SOFTWARE DEVELOPMENT ENGINEER (LEVEL 6)
255,SOFTWARE DEVELOPEMENT ENGINEER II
256,SR. SOFTWARE DEVELOPMENT ENGINEER - AWS MARKETPLACE
257,TECHNICAL PROGRAM MANAGER
258,SR. SOFTWARE DEVELOPMENT MANAGER ALEXA MACHINE LEARNING
259,SR TECHNICAL PROGRAM MANAGER
260,SR. SOFTWARE DEVELOPMENT ENGINEER - AWS ELASTIC LOAD BALANCING AND NETWORKING
261,SOFTWARE DEVELOPMENT ENGINEER - AWS ELASTIC LOAD BALANCING AND NETWORKING
262,SOFTWARE DEVELOPMENT MANAGER AWS
263,"SOFTWARE DEVELOPMENT ENGINEER, PRIME VIDEO"
264,AMAZON (AWS) - SOFTWARE DEVELOPMENT MANAGER - ELASTIC FILE SYSTEM TEAM
265,SYSTEM DEVELOPMENT ENGINEER - AWS NETWORKING
266,AWS SYSTEMS DEVELOPMENT & PERFORMANCE ENGINEER
267,SOFTWARE DEVELOPMENT MANAGER – ALEXA MACHINE LEARNING PLATFORM
268,SOFTWARE DEVELOPMENT ENGINEER (LEVEL 5)
269,SOFTWARE DEVELOPMENT ENGINEER (LEVEL 6)
270,GROWTH TEAM MANAGER
271,SR. SOFTWARE DEVELOPMENT ENGINEER | AMAZON EXPORTS AND EXPANSION
272,SR. PROGRAMMER - GAMES
273,SR. SOFTWARE ENGINEER
274,SR GAMEPLAY ENGINEER
275,"SOFTWARE FULL STACK ENGINEER, SECURITY"
276,SOFTWARE DEVELOPMENT ENGINEER - AWS SCHEDULING TEAM
277,KNOWLEDGE ENGINEER - DEVICES
278,SOFTWARE DEVELOPER INTERN - BUILDERHUB TEAM
279,SOFTWARE DEVELOPMENT INTERN - RAPID DEVELOPMENT ENVIRONMENT PROJECT
280,SOFTWARE DEVELOPER INTERN - BUILDER TOOLS
281,SENIOR QA ENGINEER
282,DATA ENGINEER
283,"SOFTWARE DEVELOPMENT ENGINEER - CAMBRIDGE, MA  MACHINE LEARNING AND SPEECH - ECHO"
284,SOFTWARE DEVELOPMENT MANAGER (NEPTUNE)
285,SOFTWARE ENGINEER - KINDLE READER ENGINEERING
286,SOFTWARE DEVELOPMENT MANAGER - SPEECH AND LANGUAGE TECHNOLOGY (M/F)
287,"SOFTWARE DEVELOPMENT ENGINEER, SEARCH SERVICES"
288,"SOFTWARE DEVELOPMENT ENGINEER – BIG DATA, AMAZON ATHENA"
289,SOFTWARE DEVELOPMENT ENGINEER**
290,SOFTWARE DEVELOPMENT ENGINEER
291,SOFTWARE DEVELOPMENT ENGINEER - SPONSORED PRODUCTS ADVERTISEMENTS
292,SENIOR SOFTWARE DEVELOPMENT ENGINEER - SPONSORED PRODUCTS ADVERTISEMENTS
293,PRINCIPAL TECHNICAL PROGRAM MANAGER
294,SOFTWARE DEVELOPMENT ENGINEER | AMAZON PRIME & DELIVERY EXPERIENCE
295,SOFTWARE DEVELOPER MANAGER
296,SOFTWARE ENGINEER - ANALYTICS
297,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AWS S3 PLATFORM TEAM
298,SOFTWARE DEVELOPMENT MANAGER - AWS DYNAMODB
299,SOFTWARE DEVELOPMENT ENGINEER - REAL TIME (AMAZON MUSIC)
300,"SOFTWARE DEVELOPMENT MANAGER, MAPPING AND ROUTING"
301,"SOFTWARE DEVELOPMENT ENGINEER, AWS SERVERLESS APPS"
302,"SOFTWARE DEVELOPMENT MANAGER, AWS LAMBDA (NEW INITIATIVE)"
303,SOFTWARE DEVELOPMENT ENGINEER | AMAZON DELIVERY EXPERIENCE
304,SOFTWARE DEVELOPMENT ENGINEER -  SPEECH AND LANGUAGE TECHNOLOGIES (NLU)
305,"SOFTWARE DEVELOPMENT ENGINEER IN TEST, AWS ELASTIC LOAD BALANCING"
306,SOFTWARE DEVELOPMENT ENGINEER - AWS ELASTIC LOAD BALANCING
307,SENIOR SOFTWARE DEVELOPER -- DEEP LEARNING PLATFORM
308,SOFTWARE DEVELOPER -- DEEP LEARNING PLATFORM OPTIMIZATION
309,SOFTWARE DEVELOPMENT ENGINEER (JAVA/PYTHON/C++) - SEATTLE
310,SENIOR SOFTWARE ENGINEER
311,SOFTWARE DEVELOPMENT ENGINEER III - REQ403
312,"SOFTWARE DEVELOPMENT ENGINEER, AMAZON BUSINESS"
313,SOFTWARE DEVELOPMENT ENGINEER - AUDIO
314,SENIOR TECHNICAL PROGRAM MANAGER
315,"AMAZON S3, SOFTWARE DEVELOPMENT ENGINEER"
316,S3 SOFTWARE DEVELOPMENT MANAGER
317,SOFTWARE DEVELOPMENT ENGINEER - EC2
318,SR. SOFTWARE DEVELOPMENT ENGINEER - MOBILE
319,"SOFTWARE DEVELOPMENT ENGINEER, AWS MOBILE"
320,"SOFTWARE DEVELOPMENT ENGINEER, AWS"
321,"SOFTWARE DEV ENGINEER, DEVELOPER/FIELD SUPPORT (LUMBERYARD GAME ENGINE)"
322,"SR. SOFTWARE DEVELOPMENT ENGINEER, ALEXA SMART HOME"
323,SR. SOFTWARE DEVELOPMENT ENGINEER - ALEXA SMART HOME/IOT
324,SOFTWARE DEV MANAGER - ALEXA SMART HOME/IOT
325,"SOFTWARE DEVELOPMENT ENGINEER, AWS ENTERPRISE NETWORKING"
326,"APPLIED SCIENTIST, ALEXA SMART HOME"
327,SOFTWARE DEVELOPMENT ENGINEER | ALEXA SMART HOME
328,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA SMART HOME"
329,"SR. MANAGER, SW DEVELOPMENT - AWS APP DEVELOPMENT"
330,SENIOR SOFTWARE DEVELOPMENT ENGINEER - APPSTORE
331,WEB DEVELOPMENT ENGINEER - AWS SERVERLESS
332,SOFTWARE DEVELOPMENT ENGINEER - MOBILE
333,SOFTWARE DEVELOPMENT ENGINEER - NEW INITIATIVE
334,"QUALITY ASSURANCE ENGINEER - AMAZON IS HIRING FOR SAO PAULO, BRASIL!"
335,SOFTWARE QUALITY ASSURANCE ENGINEER
336,SENIOR SOFTWARE DEVELOPMENT ENGINEER –  ELASTIC TRANSCODING SERVICE
337,SR. SOFTWARE DEV ENGINEER
338,SDM ROBOT DETECTION
339,SR. SOFTWARE DEVELOPMENT ENGINEER - CONSUMER CLOUD SECURITY
340,"SR PRODUCT MANAGER - TECH, AVS"
341,SOFTWARE DEVELOPMENT ENGINEER (AMAZON MUSIC)
342,SENIOR SOFTWARE ENGINEER - MACHINE LEARNING
343,SENIOR SOFTWARE DEVELOPMENT ENGINEER - ANDROID
344,SENIOR MOBILE ENGINEER
345,PROGRAMMER - GAMES
346,SOFTWARE DEVELOPMENT ENGINEER IN TEST 2 MOBILE (SDET 2)
347,SR SOFTWARE DEVELOPMENT ENGINEER
348,SOFTWARE ENGINEER - NETWORK DEVICES EMBEDDED [NET-OS PLATFORM]
349,SR. SDE - MOBILE DEVELOPMENT
350,SR. SDE / ARCHITECT - AMAZON ALEXA DATA SERVICES
351,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA AUTOMOTIVE"
352,"MANAGER, SOFTWARE DEVELOPMENT, ALEXA AUTOMOTIVE"
353,SOFTWARE DEVELOPMENT ENGINEER - ALEXA SERVICES
354,"SR. SOFTWARE DEVELOPMENT ENGINEER, SUSTAINABILITY"
355,"SOFTWARE DEVELOPMENT MANAGER, ALEXA MOBILE PLATFORM"
356,"SENIOR SOFTWARE DEVELOPMENT ENGINEER, ALEXA"
357,SOFTWARE DEVELOPMENT
358,SOFTWARE ENGINEER - EMBEDDED NETWORK DEVICES DATA PLANE
359,"SR. SOFTWARE DEVELOPMENT ENGINEER, AWS INFRASTRUCTURE"
360,SOFTWARE DEVELOPMENT ENGINEER - FIRETV
361,SW DEV ENG - FIRE TV
362,SOFTWARE DEVELOPMENT MANAGER - ALEXA
363,DEVOPS ENGINEER | SYSTEM DEVELOPMENT ENGINEER
364,ROBOTICS MECHATRONIC ENGINEER INTERNSHIPS (M/F)
365,SOFTWARE DEVELOPMENT MANAGER - ECS
366,SYSTEM DEVELOPMENT ENGINEER
367,LEAD DEVOPS/ SYSTEMS DEVELOPMENT ENGINEER
368,SR. SOFTWARE ENGINEER - SUBSCRIPTIONS
369,"SENIOR SDM, AWS APPSYNC"
370,"SOFTWARE DEVELOPMENT ENGINEER, SEARCH CUSTOMER EXPERIENCE"
371,SOFTWARE DEVELOPER ENGINEER
372,SOFTWARE DEVELOPMENT ENGINEER - AWS MARKETPLACE METERING & ENTITLEMENT
373,MARCH SDE HIRING EVENT
374,SOFTWARE DEVELOPMENT ENGINEER - AWS STORAGE SERVICES
375,RESEARCH SCIENTIST
376,"SOFTWARE DEVELOPMENT MANAGER, RENTALS BY AMAZON"
377,SOFTWARE DEVELOPMENT ENGINEER - SPONSORED PRODUCTS
378,"SOFTWARE DEVELOPMENT ENGINEER, AMAZON PRIME PHOTOS"
379,"FRONT-END ENGINEER, AWS"
380,SALESFORCE DEVELOPMENT ENGINEER
381,AWS DMS SOFTWARE DEVELOPMENT ENGINEER
382,"SENIOR SOFTWARE ENGINEER, AMAZON TECHNICAL ACADEMY"
